mu, angle, threshold, speed
1,0,1,2
1,60,1,2
1,75,1,1.8
1,90,1,1.6
1,105,1,2
1,120,1,2
1,135,1,2
1,150,1,2
1,165,1,2
1,0,1.5,2
1,15,1.5,2
1,30,1.5,1.8
1,45,1.5,2
1,60,1.5,2
1,75,1.5,2
1,90,1.5,2
1,105,1.5,2
1,120,1.5,1.8
1,135,1.5,1.6
1,150,1.5,2
1,165,1.5,2
0.009,0,1,1.8
0.009,0,1,2
0.009,15,1,1.4
0.009,30,1,1.2
0.009,45,1,0.8
0.009,30,1,1
0.009,60,1,0.4
0.009,75,1,0.6
0.009,90,1,0.4
0.009,105,1,0.2
0.009,120,1,0.4
0.009,135,1,0.4
0.009,150,1,0.2
0.009,165,1,0.2
0.009,0,1.5,2
0.009,15,1.5,1.4
0.009,30,1.5,1
0.009,45,1.5,1
0.009,60,1.5,0.8
0.009,75,1.5,0.6
0.009,90,1.5,0.4
0.009,105,1.5,0.4
0.009,120,1.5,0.2
0.009,135,1.5,0.4
0.009,150,1.5,0.2
0.009,165,1.5,0.4
0.009,0,2,1.8
0.009,0,2,2
0.009,15,2,1.4
0.009,30,2,1.4
0.009,45,2,1.2
0.009,60,2,0.8
0.009,75,2,0.6
0.009,90,2,0.6
0.009,105,2,0.4
0.009,120,2,0.4
0.009,135,2,0.4
0.009,150,2,0.2
0.009,165,2,0.8
0.05,0,1,2
0.05,15,1,1.8
0.05,30,1,2
0.05,45,1,1.2
0.05,60,1,1.8
0.05,75,1,1
0.05,90,1,1.2
0.05,105,1,1.2
0.05,120,1,1
0.05,135,1,1
0.05,150,1,0.8
0.05,165,1,0.4
0.05,0,1.5,2
0.05,15,1.5,2
0.05,30,1.5,2
0.05,45,1.5,1.2
0.05,60,1.5,2
0.05,75,1.5,1.6
0.05,90,1.5,1.4
0.05,105,1.5,1.2
0.05,120,1.5,1
0.05,135,1.5,1
0.05,150,1.5,0.6
0.05,165,1.5,1
0.09,0,1,2
0.09,45,1,1.8
0.09,75,1,2
0.09,90,1,1.8
0.09,105,1,1.6
0.09,120,1,1.4
0.09,135,1,1.4
0.09,150,1,1.2
0.09,165,1,0.8
0.09,0,1.5,2
0.09,15,1.5,2
0.09,30,1.5,2
0.09,45,1.5,1.8
0.09,60,1.5,2
0.09,75,1.5,2
0.09,90,1.5,2
0.09,105,1.5,1.6
0.09,120,1.5,1.4
0.09,135,1.5,1.4
0.09,150,1.5,1.2
0.09,165,1.5,1.2
0.5,0,1,2
0.5,60,1,2
0.5,75,1,2
0.5,90,1,2
0.5,105,1,2
0.5,120,1,2
0.5,135,1,2
0.5,150,1,2
0.5,165,1,2
0.5,0,1.5,2
0.5,15,1.5,1.8
0.5,30,1.5,2
0.5,45,1.5,1.8
0.5,60,1.5,2
0.5,75,1.5,1.8
0.5,90,1.5,2
0.5,105,1.5,2
0.5,120,1.5,2
0.5,135,1.5,2
0.5,150,1.5,2
0.009,0,2,0.6
0.009,15,2,0.6
0.009,30,2,0.6
0.009,45,2,0.6
0.009,60,2,0.6
0.009,75,2,0.4
0.009,90,2,0.4
0.009,105,2,0.4
0.009,120,2,0.4
0.009,135,2,0.4
0.009,150,2,0.2
0.009,165,2,0
0.05,165,2,1.2
0.05,150,2,0.8
0.05,135,2,1
0.05,120,2,1
0.05,105,2,1.2
0.05,90,2,1.4
0.05,75,2,1.2
0.05,60,2,1.6
0.05,45,2,1.4
0.05,30,2,1.4
0.05,15,2,1.2
0.05,0,2,1.2
0.09,0,2,1.8
0.09,15,2,1.8
0.09,30,2,2
0.09,45,2,2
0.09,60,2,2
0.09,75,2,1.8
0.09,90,2,1.8
0.09,105,2,1.8
0.09,120,2,1.8
0.09,135,2,1.8
0.09,150,2,1.8
0.09,165,2,1.8
0.5,0,2,2
0.5,15,2,2
0.5,30,2,2
0.5,45,2,2
0.5,60,2,2
0.5,75,2,2
0.5,90,2,2
0.5,105,2,2
0.5,120,2,2
0.5,135,2,1.8
0.5,150,2,2
0.5,165,2,2
1,0,2,2
1,15,2,2
1,30,2,2
1,45,2,2
1,60,2,2
1,75,2,2
1,90,2,2
1,105,2,2
1,120,2,2
1,135,2,2
1,150,2,2
1,165,2,2
2,0,2,2
2,15,2,2
2,30,2,2
2,45,2,2
2,60,2,2
2,75,2,2
2,90,2,2
2,105,2,2
2,120,2,2
2,135,2,2
2,150,2,2
2,165,2,2
5,0,2,2
5,15,2,2
5,30,2,2
5,45,2,2
5,60,2,2
5,75,2,2
5,90,2,2
5,105,2,2
5,120,2,2
5,135,2,2
5,150,2,2
5,165,2,2
10,0,2,2
10,15,2,2
10,30,2,2
10,45,2,2
10,60,2,2
10,75,2,2
10,90,2,2
10,105,2,2
10,120,2,2
10,135,2,2
10,150,2,2
10,165,2,2
